SeqId	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol	Organism	Units
10336-3_3	SL019100	E3 ubiquitin-protein ligase CHIP	CHIP	Q9UNE7	10273	STUB1	Human	RFU
10337-83_3	SL007136	CCAAT/enhancer-binding protein beta	CEBPB	P17676	1051	CEBPB	Human	RFU
10339-48_3	SL001731	Gamma-enolase	NSE	P09104	2026	ENO2	Human	RFU
10342-55_3	SL019096	E3 SUMO-protein ligase PIAS4	PIAS4	Q8N2W9	51588	PIAS4	Human	RFU
10344-334_3	SL005173	Interleukin-10 receptor subunit alpha	IL-10 Ra	Q13651	3587	IL10RA	Human	RFU
10346-5_3	SL007221	Signal transducer and activator of transcription 3	STAT3	P40763	6774	STAT3	Human	RFU
10351-51_3	SL007108	Interferon regulatory factor 1	IRF1	P10914	3659	IRF1	Human	RFU
10356-21_3	SL000455	Transcription factor AP-1	c-Jun	P05412	3725	JUN	Human	RFU
10358-33_3	SL003755	Induced myeloid leukemia cell differentiation protein Mcl-1	Mcl-1	Q07820	4170	MCL1	Human	RFU
10361-25_3	SL014684	2'-5'-oligoadenylate synthase 1	OAS1	P00973	4938	OAS1	Human	RFU
10362-35_3	SL002565	Myc proto-oncogene protein	c-Myc	P01106	4609	MYC	Human	RFU
10363-13_3	SL004097	Mothers against decapentaplegic homolog 3	SMAD3	P84022	4088	SMAD3	Human	RFU
10364-6_3	SL004101	Mothers against decapentaplegic homolog 2	SMAD2	Q15796	4087	SMAD2	Human	RFU
10365-132_3	SL005184	Interleukin-23	IL-23	P29460, Q9NPF7	3593 51561	IL12B IL23A	Human	RFU
10366-11_3	SL001728	Platelet-derived growth factor receptor alpha	PDGFRA	P16234	5156	PDGFRA	Human	RFU
10367-62_3	SL001716	Interleukin-12	IL-12	P29459,  P29460	3592 3593	IL12A IL12B	Human	RFU
10370-21_3	SL004396	Signal transducer and activator of transcription 1-alpha/beta	STAT1	P42224	6772	STAT1	Human	RFU
10372-18_3	SL007229	Signal transducer and activator of transcription 6	STAT6	P42226	6778	STAT6	Human	RFU
10990-21_3	SL017128	Leucine-rich repeat serine/threonine-protein kinase 2	LRRK2	Q5S007		LRRK2	Human	RFU
11067-13_3	SL001791	Osteocalcin	Osteocalcin	P02818	632	BGLAP	Human	RFU
11071-1_3	SL000481	Interleukin-5	IL-5	P05113	3567	IL5	Human	RFU
11081-1_3	SL007151	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	GPDA	P21695	2819	GPD1	Human	RFU
11089-7_3	SL000459	Immunoglobulin A	IgA	P01876 P01877	3493 3494	IGHA1 IGHA2	Human	RFU
11094-104_3	SL007361	Galectin-10	LPPL	Q05315	1178	CLC	Human	RFU
11096-57_3	SL018921	HemK methyltransferase family member 2	HEMK2	Q9Y5N5	29104	N6AMT1	Human	RFU
11098-1_3	SL007953	Pyridoxal kinase	PDXK	O00764	8566	PDXK	Human	RFU
11101-18_3	SL004489	Toll-like receptor 4	TLR4	O00206	7099	TLR4	Human	RFU
11102-22_3	SL012561	Regenerating islet-derived protein 4	REG4	Q9BYZ8	83998	REG4	Human	RFU
11103-24_3	SL000448	Heat shock protein beta-1	HSP 27	P04792	3315	HSPB1	Human	RFU
11104-13_3	SL003340	Chitinase-3-like protein 1	YKL-40	P36222	1116	CHI3L1	Human	RFU
11105-171_3	SL003650	Alpha-enolase	Alpha enolase	P06733	2023	ENO1	Human	RFU
11510-31_3	SL005699	Apolipoprotein L1	Apo L1	O14791	8542	APOL1	Human	RFU
11513-92_3	SL002722	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	CD38	P28907	952	CD38	Human	RFU
11514-196_3	SL004557	CD59 glycoprotein	CD59	P13987	966	CD59	Human	RFU
11516-7_3	SL006131	Fatty acid-binding protein, liver	FABPL	P07148	2168	FABP1	Human	RFU
12060-28_3	SL004345	Growth/differentiation factor 11	GDF-11	O95390	10220	GDF11	Human	RFU
13088-397_3	SL000137	Betacellulin	BTC	P35070	685	BTC	Human	RFU
13089-6_3	SL003349	Hypoxia-inducible factor 1-alpha	HIF-1a	Q16665	3091	HIF1A	Human	RFU
13090-17_3	SL004827	Protein S100-A6	S100A6	P06703	6277	S100A6	Human	RFU
13093-6_3	SL005430	Secreted and transmembrane protein 1	SECTM1	Q8WVN6	6398	SECTM1	Human	RFU
13094-75_3	SL018509	R-spondin-3	RSPO3	Q9BXY4	84870	RSPO3	Human	RFU
13095-51_3	SL005357	Lithostathine-1-alpha	PSP	P05451	5967	REG1A	Human	RFU
13097-11_3	SL003774	Bcl-2-like protein 2	Apoptosis regulator Bcl-W	Q92843	599	BCL2L2	Human	RFU
13098-93_3	SL003320	Vascular endothelial growth factor D	VEGF-D	O43915	2277	FIGF	Human	RFU
13101-60_3	SL007631	Sclerostin	SOST	Q9BQB4	50964	SOST	Human	RFU
13102-1_3	SL012769	Protein FAM3D	FAM3D	Q96BQ1	131177	FAM3D	Human	RFU
13103-125_3	SL009328	Chorionic somatomammotropin hormone	CSH	P0DML2 P0DML3	1442 1443	CSH1 CSH2	Human	RFU
13104-32_3	SL008614	Ephrin-B1	EFNB1	P98172	1947	EFNB1	Human	RFU
13105-7_3	SL007311	Synaptosomal-associated protein 25	SNP25	P60880	6616	SNAP25	Human	RFU
13107-9_3	SL008402	Ly6/PLAUR domain-containing protein 3	LYPD3	O95274	27076	LYPD3	Human	RFU
13109-82_3	SL008810	Neuronal growth regulator 1	NEGR1	Q7Z3B1	257194	NEGR1	Human	RFU
13111-79_3	SL007223	B-cell lymphoma 6 protein	BCL6	P41182	604	BCL6	Human	RFU
13112-179_3	SL009349	Follistatin-related protein 1	FSTL1	Q12841	11167	FSTL1	Human	RFU
13113-7_3	SL002688	Osteopontin	Osteopontin	P10451	6696	SPP1	Human	RFU
13114-50_3	SL006230	Lumican	Lumican	P51884	4060	LUM	Human	RFU
13116-25_3	SL008931	CD177 antigen	CD177	Q8N6Q3	57126	CD177	Human	RFU
13117-232_3	SL018256	Choline/ethanolamine kinase	CHKB	Q9Y259	1120	CHKB	Human	RFU
13118-5_3	SL011888	SPARC-related modular calcium-binding protein 1	SMOC1	Q9H4F8	64093	SMOC1	Human	RFU
13119-26_3	SL004467	Protein Z-dependent protease inhibitor	protein Z inhibitor	Q9UK55	51156	SERPINA10	Human	RFU
13122-19_3	SL008360	Leucine-rich repeat transmembrane protein FLRT2	FLRT2	O43155	23768	FLRT2	Human	RFU
13123-3_3	SL008372	Leucine-rich repeat transmembrane protein FLRT3	FLRT3	Q9NZU0	23767	FLRT3	Human	RFU
13124-20_3	SL018587	Immunoglobulin superfamily containing leucine-rich repeat protein 2	ISLR2	Q6UXK2	57611	ISLR2	Human	RFU
13125-45_3	SL000616	Vitronectin	Vitronectin	P04004	7448	VTN	Human	RFU
13126-52_3	SL008631	Desmocollin-2	DSC2	Q02487	1824	DSC2	Human	RFU
13129-40_3	SL007070	Low-density lipoprotein receptor	LDLR	P01130	3949	LDLR	Human	RFU
13130-150_3	SL007272	Hexokinase-2	HXK2	P52789	3099	HK2	Human	RFU
13131-5_3	SL011180	Hexokinase-1	HXK1	P19367	3098	HK1	Human	RFU
13132-14_3	SL008522	Semaphorin-5A	SEM5A	Q13591	9037	SEMA5A	Human	RFU
13133-73_3	SL007033	Latent-transforming growth factor beta-binding protein 4	LTBP4	Q8N2S1	8425	LTBP4	Human	RFU
14114-18_3	SL019019	PILR alpha-associated neural protein	PIANP	Q8IYJ0	196500	PIANP	Human	RFU
14115-34_3	SL002782	Adrenomedullin	Adrenomedullin	P35318	133	ADM	Human	RFU
14116-129_3	SL004821	Protein S100-A4	S100A4	P26447	6275	S100A4	Human	RFU
14120-2_3	SL018629	E3 ubiquitin-protein ligase RNF43	RNF43	Q68DV7	54894	RNF43	Human	RFU
14121-24_3	SL004159	Tumor necrosis factor receptor superfamily member 10D	TRAIL R4	Q9UBN6	8793	TNFRSF10D	Human	RFU
14122-132_3	SL018971	E3 ubiquitin-protein ligase ZNRF3	ZNRF3	Q9ULT6	84133	ZNRF3	Human	RFU
14123-34_3	SL017424	Platelet receptor Gi24	GI24	Q9H7M9		C10orf54	Human	RFU
14124-6_3	SL004843	Ephrin-A2	Ephrin-A2	O43921	1943	EFNA2	Human	RFU
14125-5_3	SL004747	Apolipoprotein M	ApoM	O95445	55937	APOM	Human	RFU
14127-240_3	SL001880	Interferon beta	IFN-b	P01574	3456	IFNB1	Human	RFU
14128-121_3	SL017106	Interferon alpha-10	IFN10	P01566	3446	IFNA10	Human	RFU
14129-1_3	SL019978	Interferon alpha-7	IFNA7	P01567		IFNA7	Human	RFU
14131-37_3	SL007274	Ephrin-B2	EFNB2	P52799	1948	EFNB2	Human	RFU
14132-21_3	SL020171	HERV-H LTR-associating protein 2	HHLA2	Q9UM44		HHLA2	Human	RFU
14133-93_3	SL000145	Interleukin-1 receptor type 2	IL-1 sRII	P27930	7850	IL1R2	Human	RFU
14134-49_3	SL015046	Amphoterin-induced protein 2	AMGO2	Q86SJ2	347902	AMIGO2	Human	RFU
14135-3_3	SL020172	Relaxin receptor 1	RXFP1	Q9HBX9		RXFP1	Human	RFU
14136-234_3	SL007696	Complement component C1q receptor	C1QR1	Q9NPY3	22918	CD93	Human	RFU
14139-16_3	SL007828	Neuregulin-4	NRG4	Q8WWG1	145957	NRG4	Human	RFU
14143-8_3	SL014983	Histone H2B type 2-E	H2B2E	Q16778	8349	HIST2H2BE	Human	RFU
14144-3_3	SL019979	Histone H2A type 3	H2A3	Q7L7L0		HIST3H2A	Human	RFU
14146-92_3	SL008158	Histone H3.1	H31	P68431	8350	HIST1H3A	Human	RFU
14147-50_3	SL001802	Interferon gamma	IFN-g	P01579	3458	IFNG	Human	RFU
14149-9_3	SL005179	Interleukin-36 beta	IL-1F8	Q9NZH7	27177	IL36B	Human	RFU
14150-7_3	SL005177	Interleukin-36 alpha	IL-1F6	Q9UHA7	27179	IL36A	Human	RFU
14151-4_3	SL015510	Ubiquitin-like protein ISG15	UCRP	P05161	9636	ISG15	Human	RFU
14153-8_3	SL004139	Ephrin-A3	Ephrin-A3	P52797	1944	EFNA3	Human	RFU
14156-33_3	SL004815	14-3-3 protein beta/alpha	14-3-3 protein beta/alpha	P31946	7529	YWHAB	Human	RFU
14157-21_3	SL004984	14-3-3 protein epsilon	14-3-3E	P62258	7531	YWHAE	Human	RFU
14158-17_3	SL003848	Annexin A5	Annexin V	P08758	308	ANXA5	Human	RFU
14583-49_3	SL004357	Growth/differentiation factor 8	Myostatin	O14793	2660	MSTN	Human	RFU
2182-54_1	SL000318	Complement C4b	C4b	P0C0L4  P0C0L5	720 721	C4A C4B	Human	RFU
2190-55_1	SL002662	Coagulation Factor XI	Coagulation Factor XI	P03951	2160	F11	Human	RFU
2192-63_10	SL003168	C-C motif chemokine 27	CTACK	Q9Y4X3	10850	CCL27	Human	RFU
2201-17_6	SL000403	Endostatin	Endostatin	P39060	80781	COL18A1	Human	RFU
2211-9_6	SL000591	Metalloproteinase inhibitor 1	TIMP-1	P01033	7076	TIMP1	Human	RFU
2212-69_1	SL000053	Tissue-type plasminogen activator	tPA	P00750	5327	PLAT	Human	RFU
2247-20_11	SL004332	Prokineticin-1	EG-VEGF	P58294	84432	PROK1	Human	RFU
2278-61_4	SL000592	Metalloproteinase inhibitor 2	TIMP-2	P16035	7077	TIMP2	Human	RFU
2333-72_1	SL000584	Transforming growth factor beta-1	TGF-b1	P01137	7040	TGFB1	Human	RFU
2358-19_2	SL003322	Vascular endothelial growth factor receptor 3	VEGF sR3	P35916	2324	FLT4	Human	RFU
2381-52_4	SL000319	Complement C5	C5	P01031	727	C5	Human	RFU
2418-55_9	SL000276	Apolipoprotein E	Apo E	P02649	348	APOE	Human	RFU
2421-7_3	SL003951	Brain-derived neurotrophic factor	BDNF	P23560	627	BDNF	Human	RFU
2429-27_4	SL000324	Complement component C8	C8	P07357,P07358,P07360	731 732 733	C8A C8B C8G	Human	RFU
2431-17_3	SL000345	Cathepsin G	Cathepsin G	P08311	1511	CTSG	Human	RFU
2436-49_4	SL004016	C-X-C motif chemokine 16	CXCL16, soluble	Q9H2A7	58191	CXCL16	Human	RFU
2441-2_4	SL004333	Fibroblast growth factor 10	FGF-10	O15520	2255	FGF10	Human	RFU
2443-10_4	SL004342	Fibroblast growth factor 8 isoform B	FGF-8B	P55075	2253	FGF8	Human	RFU
2447-7_4	SL004066	Group IIE secretory phospholipase A2	GIIE	Q9NZK7	30814	PLA2G2E	Human	RFU
2449-1_4	SL004182	Calcium-dependent phospholipase A2	GV	P39877	5322	PLA2G5	Human	RFU
2468-62_3	SL000133	C-C motif chemokine 20	MIP-3a	P78556	6364	CCL20	Human	RFU
2474-54_5	SL000573	Serum amyloid P-component	SAP	P02743	325	APCS	Human	RFU
2475-1_3	SL004010	Mast/stem cell growth factor receptor Kit	SCF sR	P10721	3815	KIT	Human	RFU
2480-58_3	SL003043	Metalloproteinase inhibitor 3	TIMP-3	P35625	7078	TIMP3	Human	RFU
2500-2_3	SL004643	Angiopoietin-4	Angiopoietin-4	Q9Y264	51378	ANGPT4	Human	RFU
2501-51_3	SL000055	Cadherin-1	Cadherin E	P12830	999	CDH1	Human	RFU
2505-49_3	SL004144	GDNF family receptor alpha-3	GFRa-3	O60609	2676	GFRA3	Human	RFU
2514-65_3	SL004142	Ephrin-B3	Ephrin-B3	Q15768	1949	EFNB3	Human	RFU
2515-14_3	SL004143	GDNF family receptor alpha-2	GFRa-2	O00451	2675	GFRA2	Human	RFU
2516-57_3	SL003193	C-C motif chemokine 21	6Ckine	O00585	6366	CCL21	Human	RFU
2524-56_3	SL003280	High mobility group protein B1	HMG-1	P09429	3146	HMGB1	Human	RFU
2526-53_3	SL002539	Tumor necrosis factor receptor superfamily member 11B	OPG	O00300	4982	TNFRSF11B	Human	RFU
2558-51_3	SL000300	Beta-endorphin	b-Endorphin	P01189	5443	POMC	Human	RFU
2567-5_6	SL003328	Complement factor I	Factor I	P05156	3426	CFI	Human	RFU
2571-12_3	SL000045	Insulin-like growth factor-binding protein 3	IGFBP-3	P17936	3486	IGFBP3	Human	RFU
2578-67_2	SL000038	C-C motif chemokine 2	MCP-1	P13500	6347	CCL2	Human	RFU
2579-17_5	SL000527	Matrix metalloproteinase-9	MMP-9	P14780	4318	MMP9	Human	RFU
2580-83_2	SL001796	Myeloperoxidase	Myeloperoxidase	P05164	4353	MPO	Human	RFU
2585-2_5	SL000546	Prolactin	PRL	P01236	5617	PRL	Human	RFU
2597-8_3	SL000002	Vascular endothelial growth factor A	VEGF	P15692	7422	VEGFA	Human	RFU
2598-9_3	SL004126	Tumor necrosis factor receptor superfamily member 9	4-1BB	Q07011	3604	TNFRSF9	Human	RFU
2599-51_2	SL003735	Tumor necrosis factor ligand superfamily member 9	4-1BB ligand	P41273	8744	TNFSF9	Human	RFU
2602-2_2	SL001996	Angiopoietin-2	Angiopoietin-2	O15123	285	ANGPT2	Human	RFU
2603-61_2	SL003738	T-lymphocyte activation antigen CD80	B7	P33681	941	CD80	Human	RFU
2605-49_2	SL004180	Tumor necrosis factor receptor superfamily member 8	CD30	P28908	943	TNFRSF8	Human	RFU
2607-54_2	SL004692	Cytokine receptor-like factor 1:Cardiotrophin-like cytokine factor 1 Complex	CLF-1/CLC Complex	O75462 Q9UBD9	9244 23529	CRLF1 CLCF1	Human	RFU
2609-59_2	SL001777	Cystatin-C	Cystatin C	P01034	1471	CST3	Human	RFU
2611-72_2	SL004136	Tyrosine-protein kinase receptor TYRO3	Dtk	Q06418	7301	TYRO3	Human	RFU
2612-5_2	SL004759	Eukaryotic translation initiation factor 5	eIF-5	P55010	1983	EIF5	Human	RFU
2614-28_2	SL004140	Ephrin-A4	Ephrin-A4	P52798	1945	EFNA4	Human	RFU
2615-60_2	SL004141	Ephrin-A5	Ephrin-A5	P52803	1946	EFNA5	Human	RFU
2616-23_18	SL000009	Receptor tyrosine-protein kinase erbB-2	ERBB2	P04626	2064	ERBB2	Human	RFU
2617-56_35	SL002519	Receptor tyrosine-protein kinase erbB-3	ERBB3	P21860	2065	ERBB3	Human	RFU
2618-10_2	SL003803	Receptor tyrosine-protein kinase erbB-4	ERBB4	Q15303	2066	ERBB4	Human	RFU
2619-72_2	SL001890	Tumor-associated calcium signal transducer 2	GA733-1 protein	P09758	4070	TACSTD2	Human	RFU
2620-4_2	SL003872	Interleukin-6 receptor subunit beta	gp130, soluble	P40189	3572	IL6ST	Human	RFU
2622-18_1	SL004751	Heme oxygenase 2	HO-2	P30519	3163	HMOX2	Human	RFU
2625-53_4	SL017612	Heat shock protein HSP 90-alpha/beta	HSP 90a/b	P07900 P08238		HSP90AA1 HSP90AB1	Human	RFU
2630-12_2	SL004588	Interleukin-1 Receptor accessory protein	IL-1 R AcP	Q9NPH3	3556	IL1RAP	Human	RFU
